PTEN,count
"CHCHD1>CPT1A,+",1
"RIOK3>PTEN,+",1
"WNK1>LAMTOR1,+",1
"RPL15>RPS15A,+",1
"RNPS1>DDX23,-",1
"FAM84B>DDX23,+",1
"NDUFA5>MEA1,+",1
"RPL15>TSC22D2,+",1
"LIMS2>TSC22D2,+",1
"RPL8>RPL13A,+",1
"COX6B1>NDUFA5,+",1
"LIMS2>NDUFA5,+",1
"MEA1>TFPI,-",1
"HSP90AB1>TFPI,+",1
"FAM84B>HEG1,+",1
"TAPBP>HEG1,+",1
"LIMS2>HEG1,+",1
"FAM84B>ZNF292,+",1
"RPL15>GPRC5B,+",1
"RPLP2>RPL35,+",1
"RNPS1>NDUFAF3,+",1
"HEG1>FAM84B,+",1
"COL4A1>MBNL2,+",1
"PRKAA1>CLK4,+",1
"DDX60>ZNF207,+",1
"LUC7L3>DPM3,+",1
"COL4A1>PITPNC1,+",1
"NOSIP>LMBR1L,+",1
"DPM3>LMBR1L,+",1
"CHSY1>COPS2,+",1
"MORF4L1>COPS2,+",1
"LUC7L3>METTL5,+",1
"DDX60>TCEAL4,+",1
"CEP57>MORF4L1,+",1
"PRKAA1>COL4A1,+",1
"MORF4L1>RHOC,+",1
"DYNC1H1>COL4A1,+",1
"PRKAA1>FBXW5,+",1
"DPM3>FBXW5,+",1
"LUC7L3>CSDE1,+",1
"NOSIP>EMD,-",1
"CEP57>EMD,+",1
"LUC7L3>CACYBP,+",1
"MBNL2>MMRN2,+",1
"SNRPD3>MBNL2,+",1
"GIPC1>MBNL2,+",1
"CHSY1>ZNF207,+",1
"DYNC1H1>CENPC,+",1
"RNPS1>COX6B1,+",1
"HEG1>ACTR2,+",1
"RPL35>COX6B1,+",1
"RPS15A>RPL15,+",1
"LIMS2>PTPN14,+",1
"TSC22D3>CPNE2,+",1
"RPL35>RPLP2,+",1
"RPS15A>RPLP2,+",1
"HSP90AB1>MFNG,+",1
"RPL35>RPSA,+",1
"PKM>ACTR2,+",1
"WNK1>ACTR2,+",1
"ERG>NUDCD1,+",1
"CHSY1>RIT1,+",1
"TSC22D3>NUDCD1,+",1
"ZNF292>HIGD2A,+",1
"RPL15>CDC37,+",1
"HEG1>SMG1,+",1
"SMG1>TLK1,-",1
"LIMS2>TLK1,+",1
"COX6B1>PPP1CB,+",1
"LIMS2>ABI2,+",1
"NDUFA5>PTEN,+",1
"MBNL2>TAPBP,+",1
"JAG1>TERF1,+",1
"SELENOM>VASP,+",1
"PELI1>EGLN1,+",1
"MFSD10>BAG5,-",1
"OTUD6B-AS1>CTSL,-",1
"KPNB1>BDH2,+",1
"NFIB>BDH2,+",1
"BAG5>MAGI1,+",1
"OTUD6B-AS1>GTF2A2,+",1
"FLT1>GTF2A2,-",1
"FLT1>PPFIBP1,+",1
"IFNAR1>FGD5-AS1,+",1
"SURF4>PELI1,+",1
"DDOST>BAG5,+",1
"SYPL1>BAG5,+",1
"DDOST>C19orf66,+",1
"MAGI1>PDCD6IP,+",1
"CTSL>PDCD6IP,+",1
"RIT1>KPNB1,+",1
"TCEA2>PPP1CB,+",1
"MBTPS1>PPP1CB,+",1
"GTF2A2>RIT1,-",1
"ALKBH5>LMBR1L,+",1
"HNRNPR>PSENEN,+",1
"SPAG9>HNRNPR,+",1
"CREBBP>HNRNPR,+",1
"PELI1>C19orf66,-",1
"CHORDC1>C19orf66,+",1
"CAPNS1>PSMC5,+",1
"TSNAX>PNPLA8,-",1
"SYPL1>CDC37,+",1
"PQLC1>SYNE1,-",1
"BAG5>LSM4,+",1
"CDC37>CANX,+",1
"ARHGEF12>CANX,+",1
"CDC37>EID1,+",1
"MFSD10>SPTLC2,+",1
"PPFIBP1>PKIG,+",1
"TCEA2>PQLC1,+",1
"CHORDC1>PQLC1,-",1
"IFNAR1>PNPLA8,-",1
"OTUD6B-AS1>CHORDC1,+",1
"DR1>PNPLA8,+",1
"MFSD10>PNPLA8,+",1
"FLT1>PNPLA8,-",1
"OTUD6B-AS1>PNPLA8,+",1
"RIT1>PNPLA8,+",1
"PELI1>SURF4,+",1
"PELI1>LRRC32,+",1
"PQLC1>TCEA2,+",1
"MBTPS1>CHORDC1,+",1
"MFSD10>CHORDC1,-",1
"LMBR1L>ZNF217,+",1
"SCP2>PSMC5,+",1
"SURF4>RAB5A,+",1
"SCP2>HPCAL1,+",1
"UBB>CREBBP,+",1
"BAG5>CREBBP,+",1
"AKAP9>CREBBP,+",1
"COX8A>CREBBP,+",1
"MFNG>CREBBP,+",1
"SCP2>ATF7IP,+",1
"SCP2>CAPNS1,+",1
"NOSIP>ELMO1,+",1
"SPAG9>ELMO1,+",1
"STAG2>RANBP2,+",1
"PDLIM1>HSP90AB1,+",1
"CIRBP>BAG5,+",1
"PDLIM1>EIF3H,+",1
"NOSIP>MFNG,+",1
"HNRNPR>MFNG,+",1
"UPF2>PTEN,+",1
"MAF1>RICTOR,+",1
"BAZ1B>APLP2,+",1
"CTNND1>APLP2,+",1
"SERINC3>NORAD,+",1
"SEMA4C>ETFA,-",1
"CTNND1>ETFA,+",1
"CSDE1>CREBBP,+",1
"SUCLG1>BAG5,+",1
"PSENEN>UBB,+",1
"ALKBH5>EID1,+",1
"NFAT5>AKAP9,+",1
"GID8>PRPF31,-",1
"PDLIM1>PTMA,+",1
"PRPF31>ZNF428,+",1
"LMBR1L>ASAP1,+",1
"PDLIM1>DOCK1,+",1
"GID8>DOCK1,+",1
"UBB>PARK7,+",1
"MFNG>CRBN,+",1
"STAG2>GID8,-",1
"ATP5F1D>NFAT5,+",1
"NOSIP>BAG5,+",1
"AKAP9>NFAT5,+",1
"GID8>NOSIP,-",1
"NME4>RANBP1,+",1
"AKAP9>STAG2,+",1
"MAP4>ZNF428,+",1
"ZNF217>ATP5F1D,+",1
"UPF2>RPS6KA2,+",1
"BAG5>CIRBP,+",1
"ATP5F1D>CIRBP,+",1
"PRPF31>UPF2,+",1
"LSM4>CDC37,+",1
"PPFIBP1>TSNAX,+",1
"DCTN3>ASAP2,+",1
"DNAJB6>KDM2A,-",1
"DLG1>COPS2,+",1
"APPL1>COPS2,+",1
"DNAJB6>C19orf24,+",1
"PTEN>GPX4,+",1
"MYADM>GPX4,+",1
"TMEM165>GPX4,+",1
"COPS2>DDX50,-",1
"ITSN2>MBNL2,+",1
"CCT2>ANXA5,+",1
"KDM2A>CCT2,+",1
"PPP3CA>FAM214A,+",1
"NME4>DNAJB6,+",1
"COPS2>FAM214A,+",1
"DLG1>FAM214A,+",1
"PTEN>PPP1CB,+",1
"DNAJB6>ITSN2,+",1
"MYADM>ITSN2,-",1
"ITGB1>ITSN2,+",1
"DLG1>EIF4H,+",1
"UBE2H>TLN1,+",1
"DLG1>CAVIN2,+",1
"DYNC1H1>CAVIN2,+",1
