ERG,count
"NFIA>ZNF326,+",1
"RICTOR>ZNF326,+",1
"LAMTOR4>RICTOR,+",1
"CELF1>RICTOR,+",1
"YWHAB>HS3ST1,+",1
"YWHAB>TACC1,+",1
"RPS6KA3>TACC1,+",1
"LAMTOR4>RPS6KA3,-",1
"ST13>RPS6KA3,+",1
"VEZF1>PCMTD1,-",1
"PTMS>PCMTD1,-",1
"LAMTOR4>PCMTD1,+",1
"YWHAB>NFIA,+",1
"MTPN>NFIA,+",1
"MTPN>VEZF1,+",1
"CNOT7>SPCS3,+",1
"RPS6KA3>SPCS3,-",1
"DDX5>SPCS3,+",1
"RPS6KA3>EIF4B,+",1
"PSMC5>EIF4B,+",1
"MTPN>CNOT7,-",1
"GFOD2>PSMB5,+",1
"LAMTOR4>PSMB5,+",1
"CELF1>MRPS34,+",1
"PLRG1>MRPS34,+",1
"SFSWAP>TMX4,+",1
"CNIH1>TMX4,+",1
"ZNF22>H2AFY,+",1
"TMX4>H2AFY,+",1
"CNIH1>EIF3M,+",1
"COPS2>EIF3M,+",1
"MRPL28>EIF3M,+",1
"FAM171A1>EIF3M,-",1
"HMGN2>ZNF22,+",1
"CMPK1>PPIG,+",1
"GPATCH8>PPIG,+",1
"HMGN2>PPIG,+",1
"NDUFB3>PPIG,+",1
"COPS2>MRPS5,+",1
"CNBP>ZBTB4,+",1
"GPATCH8>MRPL28,+",1
"COPS2>SUN2,+",1
"ACTR10>HLA-C,+",1
"FCHSD2>ITSN2,+",1
"ATRAID>ITSN2,+",1
"CMPK1>ITSN2,+",1
"HMGN2>CHMP4A,+",1
"H2AFY>CHMP4A,+",1
"ACTR10>CHMP4A,+",1
"ITSN2>SF3B6,+",1
"MTPN>MRPS34,+",1
"VEZF1>MRPS34,+",1
"ST13>SLC38A2,+",1
"FNBP1L>SEC31A,+",1
"COPS2>SEC31A,+",1
"CNBP>RPL7A,+",1
"EDF1>ACTR10,+",1
"TMX4>CNIH1,+",1
"SUMO2>CNIH1,+",1
"CMPK1>SF3B6,+",1
"HLA-B>SUMO2,+",1
"SFSWAP>FAM171A1,+",1
"PURB>FAM171A1,-",1
"FCHSD2>HSPA1B,+",1
"HMGN2>HSPA1B,+",1
"TACC1>S100A6,+",1
"COPS2>CMPK1,+",1
"NDUFB3>GPATCH8,+",1
"COPS2>PAFAH1B1,+",1
"ZNF22>SUMO2,+",1
"GPATCH8>NUDCD1,+",1
"BNIP3L>ERG,+",1
"HECTD1>UPF3A,+",1
"ARPC3>SUCLG1,+",1
"NIPBL>PPP2R2A,+",1
"ARPC3>EEF2,+",1
"MT-CYB>MT-ND1,+",1
"ARL2>SARS,+",1
"ARPC3>SARS,+",1
"ARPC3>ARL2,+",1
"NASP>ARL2,+",1
"NASP>SYNE2,-",1
"NIPBL>SYNE2,+",1
"MALAT1>SYNE2,+",1
"DNTTIP2>NIPBL,+",1
"KDM2A>NIPBL,+",1
"DNTTIP2>RBMX,+",1
"GHITM>KANSL1,+",1
"ARL2>KANSL1,+",1
"MALAT1>KANSL1,+",1
