gene,total_count
SCAF11,114.00327182055572
WDR74,113.96353163734892
TAX1BP1,113.95776313732262
PIK3R1,113.9184375689568
MCL1,113.90187111014768
DDX21,113.88419484755275
RBX1,113.82238436323486
PPIB,113.77414545650241
EVI2A,113.62112737571182
SEC61G,113.59031418861778
MECP2,113.57665516425627
C9ORF142,113.55839971727679
RORA,113.48086649179187
CRIP1,113.43579754101755
RNF213,113.41556120622191
TSPO,113.33331498341074
CCNL1,113.32210323687382
AAK1,113.2679130719776
SH2D1A,113.24034159204243
NUCKS1,113.18641543867443
CDC42SE2,113.0777733952162
JUND,113.07323317088058
NDUFV2,113.07029575872967
TMEM243,112.95057692948576
CTSW,112.89268373525842
SNRPB,112.73568181555137
GCC2,112.72577418387675
EIF1AX,112.69400379795403
SELM,112.65933471038309
TNFAIP3,112.53515046950407
EPC1,112.48768617135016
ERP29,112.42066215616632
SC5D,112.41539059878014
UPF2,112.22328764066235
MYO1F,112.17273292771613
FIS1,112.16000510916875
NDUFB7,112.12971855545626
ORMDL1,112.05254059588957
ARL4C,112.04186838240626
ATM,111.8884138679836
PSMB8,111.81972179311174
CCDC12,111.73873118480638
ANXA6,111.66390181104238
ITGA4,111.6044365719298
ARHGAP15,111.59622851770268
TNRC6B,111.5667365809913
VPREB3,111.54986677826783
ISG15,111.53693365184563
IK,111.50387706433482
AKNA,111.46644503262209
PRF1,111.42582513319903
PCM1,111.39961933154191
FAM65B,111.3681037538803
ATP5A1,111.3092121295293
EIF3M,111.30817990553777
ARPC5L,111.30782051448773
TPM3,110.98971127646175
VPS28,110.89089517215807
RAB9A,110.84213623091445
SRSF2,110.83138223266891
SF3B5,110.8112741553
RHOA,110.72173645362999
MED10,110.66609406505324
LAIR2,110.66288763834251
CASP4,110.5829019133319
KTN1,110.47366721767195
SRSF3,110.43841093186187
NEMF,110.40319536857461
CHST12,110.3424337080413
LAPTM4A,110.25247757725357
TMEM258,110.10079640828995
IRF1,110.0297707603031
SH3BGRL,109.94340396604798
FNBP1,109.91054038076715
TMEM230,109.85848535816628
PRDX2,109.80793732303074
VPS37B,109.80682951395598
SEC61B,109.67926097748483
TAGLN2,109.67266362479725
GPBP1,109.64161573560463
ZNF428,109.64052935337709
EAPP,109.62222373648845
ZC3H15,109.58479477574409
BUB3,109.5721787667506
HLA-DQB1,109.56423847084251
EVI2B,109.55519332944898
RPS19BP1,109.43803545990771
UTS2,109.40576697996303
PDIA3,109.39846378536501
SYAP1,109.36020423749746
GSTP1,109.31966849656375
CCDC85B,109.254900453964
LSM6,109.23925866352114
MINOS1,109.20154967777471
HNRNPK,109.14437950486345
LPXN,109.13675385725399
NOSIP,109.12025059938054
BAZ1A,109.1057301843385
IKZF3,109.09624220434452
PNN,109.086690697674
PSMA2,109.08520230924117
MS4A1,109.0326873832707
ZFP36L1,109.01346368444023
SLBP,108.98298495423269
ARL6IP1,108.92956102989497
UBE2N,108.92360382491937
STK17B,108.9167489651584
RAP1A,108.8569195312016
GGA1,108.83635945050389
YTHDC1,108.81941048153871
GABARAP,108.69634635962244
PET100,108.68960349662193
ISCU,108.66836597852237
CBX3,108.60933594670465
BANK1,108.49872060960097
CD47,108.49434383281323
PRDX1,108.44216191744354
CELF2,108.41356916067373
ARID5A,108.39926745297068
GADD45GIP1,108.38151705148867
ENY2,108.38150483139452
SEP15,108.37411862444299
XCL2,108.36207995743547
HNRNPA3,108.34503428546186
PTGES3,108.31265481862573
PPP4C,108.19631766496502
SNRPF,108.10015703130568
